Timestamp,Age,Gender,Occupation Status,What type of organizations are you affiliated with?,Do you use social media?,What social media platforms do you commonly use?,What is the average time you spend on social media every day?,"On a scale of 1 to 5, how often do you find yourself using social media without a specific purpose? ","On a scale of 1 to 5, how often do you get distracted by social media when you are busy doing something? ","On a scale of 1 to 5, how often do you feel restless if you haven't used social media in a while? ","On a scale of 1 to 5, how much are you bothered by worries? ","On a scale of 1-5, how often do you compare yourself to other successful people through the use of social media? ","On a scale of 1 to 5, how frequently does your interest in daily activities fluctuate? ","On a scale of 1 to 5, how often do you face issues regarding sleep? ","On a scale of 1 to 5, how often do you face issues regarding your appetite? "
2024/08/31 1:31:23 pm GMT+5:30,20,Male,Salaried Worker,Private,Yes,Facebook;Instagram;Twitter,1 to 2 hours,2,3,2,4,2,3,3,2
2024/08/31 1:33:24 pm GMT+5:30,23,Male,University Student,University,Yes,Facebook;Instagram;YouTube;Discord,4 to 6 hours,4,3,4,2,3,3,4,4
2024/08/31 1:35:06 pm GMT+5:30,22,Female,University Student,University,Yes,Facebook;Instagram;YouTube;Snapchat;Pinterest,2 to 4 hours,3,3,4,4,3,1,2,2
2024/08/31 1:38:38 pm GMT+5:30,25,Male,Salaried Worker,Private,Yes,Facebook;Instagram;Twitter;Snapchat,1 to 2 hours,2,3,3,2,4,3,3,3
2024/08/31 1:39:29 pm GMT+5:30,25,Female,Salaried Worker,Private,Yes,Instagram;Twitter;YouTube;Discord,2 to 4 hours,2,3,3,3,3,1,2,2
2024/08/31 1:39:56 pm GMT+5:30,26,Male,Salaried Worker,Private,Yes,Facebook;Instagram;Snapchat;Discord,2 to 4 hours,3,3,2,2,3,2,4,4
2024/08/31 1:41:24 pm GMT+5:30,25,Female,Salaried Worker,Private,Yes,Facebook;Instagram;YouTube;Snapchat,1 to 2 hours,2,3,2,4,1,3,3,2
2024/08/31 1:55:24 pm GMT+5:30,22,Female,University Student,University,Yes,Instagram;YouTube;Snapchat;Pinterest,1 to 2 hours,2,2,3,4,2,3,3,2
2024/08/31 1:56:07 pm GMT+5:30,23,Male,Salaried Worker,Private,Yes,Facebook;Instagram;Twitter;Snapchat;Pinterest,2 to 4 hours,3,4,4,2,2,3,4,2
2024/08/31 1:56:36 pm GMT+5:30,26,Female,Salaried Worker,Private,No,YouTube;Pinterest,2 to 4 hours,2,3,4,4,3,3,3,4
